name,search_item,latitude,longitude,url,
Kemps Corner Mumbai,"IELTS Coaching or Tuition Institutes in Kemps Corner, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Khar West Mumbai,"IELTS Coaching or Tuition Institutes in Khar West, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Lower Parel Mumbai,"IELTS Coaching or Tuition Institutes in Lower Parel, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Mahalaxmi Mumbai,"IELTS Coaching or Tuition Institutes in Mahalaxmi, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Malabar Hill Mumbai,"IELTS Coaching or Tuition Institutes in Malabar Hill, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Marine Lines Mumbai,"IELTS Coaching or Tuition Institutes in Marine Lines, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Nariman Point Mumbai,"IELTS Coaching or Tuition Institutes in Nariman Point, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Opera House Mumbai,"IELTS Coaching or Tuition Institutes in Opera House, Mumbai",28.5575086,77.2074357,"https://www.google.com/maps/search/Opera+House+Mumbai/@28.5575086,77.2074357,16z?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Pali Hill Mumbai,"IELTS Coaching or Tuition Institutes in Pali Hill, Mumbai",19.0682845,72.8154183,"https://www.google.com/maps/place/Pali+Hill,+Mumbai,+Maharashtra/@19.0682845,72.8154183,15z/data=!3m1!4b1!4m6!3m5!1s0x3be7c96cec6b8b4d:0xf2ef1411250a699b!8m2!3d19.0673678!4d72.8262411!16zL20vMDJ6NDV2?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Peddar Road Mumbai,"IELTS Coaching or Tuition Institutes in Peddar Road, Mumbai",18.9714097,72.8068664,"https://www.google.com/maps/place/Pedder+Rd,+Mumbai,+Maharashtra+400026/@18.9714097,72.8068664,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7ce7694d33ccf:0x244e8c32748adfe0!8m2!3d18.9714097!4d72.8094413!16zL20vMGdwazhx?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Powai Mumbai,"IELTS Coaching or Tuition Institutes in Powai, Mumbai",19.1250436,72.8638489,"https://www.google.com/maps/place/Powai,+Mumbai,+Maharashtra/@19.1250436,72.8638489,13z/data=!3m1!4b1!4m6!3m5!1s0x3be7c8081c1d7b43:0xbaf100c54b8be366!8m2!3d19.1175993!4d72.9059747!16zL20vMDJzaHo0?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Prabhadevi Mumbai,"IELTS Coaching or Tuition Institutes in Prabhadevi, Mumbai",19.015249,72.8181429,"https://www.google.com/maps/place/Prabhadevi,+Mumbai,+Maharashtra/@19.015249,72.8181429,15z/data=!3m1!4b1!4m6!3m5!1s0x3be7ceba2edaae71:0x94033f02db425cf!8m2!3d19.0163283!4d72.8291129!16zL20vMDVyOWdx?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Tardeo Mumbai,"IELTS Coaching or Tuition Institutes in Tardeo, Mumbai",18.9698407,72.8032996,"https://www.google.com/maps/place/Tardeo,+Mumbai,+Maharashtra/@18.9698407,72.8032996,15z/data=!3m1!4b1!4m6!3m5!1s0x3be7ce7393614147:0x98c343b8067470c9!8m2!3d18.9675954!4d72.8141444!16zL20vMDY0eTNy?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Upper Parel Mumbai,"IELTS Coaching or Tuition Institutes in Upper Parel, Mumbai",18.9982453,72.8209811,"https://www.google.com/maps/place/Parel,+Mumbai,+Maharashtra/@18.9982453,72.8209811,14z/data=!3m1!4b1!4m6!3m5!1s0x3be7cefaff143987:0x11a57272db3e78d0!8m2!3d19.0035047!4d72.8418388!16zL20vMDJ5NDBw?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Upper Worli Mumbai,"IELTS Coaching or Tuition Institutes in Upper Worli, Mumbai",18.9936229,72.8159161,"https://www.google.com/maps/place/Upper+Worli,+Worli,+Mumbai,+Maharashtra/@18.9936229,72.8159161,16z/data=!3m1!4b1!4m6!3m5!1s0x3be7ce8eb31cc753:0x1be48eb10d5727!8m2!3d18.9942651!4d72.8212794!16s%2Fg%2F12jm08439?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
